Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,03:15,09h 15m,513.0,1 Seat available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,04:20,09h 15m,688.0,1 Seat available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
DA Transports,A/C Sleeper (2+1),21:50,06:45,08h 55m,849.0,17 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:55,21:45,08h 50m,799.0,30 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,900.0,7 Seats available,4.5,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
AdSAAM BUS,VE A/C Sleeper (2+1),20:30,06:15,09h 45m,850.0,5 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
National travels and logistics,A/C Sleeper (2+1),21:00,06:15,09h 15m,849.0,9 Seats available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,999.0,8 Seats available,4.4,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
MMK Travels,A/C Sleeper (2+1),21:00,05:30,08h 30m,999.0,7 Seats available,4.5,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09h 00m,2699.0,34 Seats available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
NS Transports,VE A/C Sleeper (2+1),21:16,06:30,09h 14m,878.0,8 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,990.0,6 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),13:45,23:10,09h 25m,2750.0,5 Seats available,4.5,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,06:30,09h 30m,799.0,25 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
P K Travels,Non A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,719.0,7 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
National travels and logistics,NON A/C Sleeper (2+1),20:45,06:15,09h 30m,699.0,12 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Suraj Holidays,VE A/C Sleeper (2+1),22:00,07:15,09h 15m,950.0,8 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,20:00,06h 10m,209.0,22 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,20:30,05h 30m,269.0,36 Seats available,2.2,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,21:05,05h 40m,269.0,42 Seats available,2.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 897,Super Fast Non AC Seater (2+3),15:01,21:30,06h 29m,273.0,10 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 708,Super Fast Non AC Seater (2+3),16:01,22:25,06h 24m,285.0,6 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 898,Super Fast Non AC Seater (2+3),16:30,22:15,05h 45m,273.0,6 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
