Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Rahul Travels,AshokLeyland Stile A/C,21:00,02:00,05h 00m,INR 699,17 Seats available,"1.9
5",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),21:40,04:35,06h 55m,INR 1099,12 Seats available,4.5,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
FlixBus,Bharat Benz A/C Seater (2+2),23:35,05:00,05h 25m,INR 675,12 Seats available,"3.2
58",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,INR 740,14 Seats available,"4.0
23",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 900,1 Seat available,"3.6
12",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,540,1 Seat available,"1.7
39",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),21:20,03:15,05h 55m,INR 705,16 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,A/C Seater / Sleeper (2+2),21:00,03:00,06h 00m,INR 449,3 Seats available,"2.4
2",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Jaiswal Tour and Travels,A/C Sleeper (2+1),21:00,03:00,06h 00m,INR 1200,15 Seats available,"1.0
2",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Rahul Travels,AshokLeyland Stile A/C,21:30,02:30,05h 00m,INR 699,2 Seats available,"1.0
2",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),20:00,02:20,06h 20m,494,22 Seats available,"4.8
3",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
